anzsco_code,occupation_title,national_rating,nsw,vic,qld,sa,wa,tas,nt,act,skill_level,major_group
111111,Chief Executive or Managing Director,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
111211,Corporate General Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121111,Aquaculture Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121311,Apiarist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121312,Beef Cattle Farmer,NS,NS,NS,NS,NS,NS,NS,S,NS,1,1
121313,Dairy Cattle Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121314,Deer Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121315,Goat Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121316,Horse Breeder,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121318,Pig Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121321,Poultry Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121322,Sheep Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121323,Mixed Cattle and Sheep Farmer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121399,Livestock Farmers nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121511,Cotton Grower,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121512,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower",NS,NS,NS,NS,NS,S,NS,NS,NS,1,1
121513,Sugar Cane Grower,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121599,Broadacre Crop Growers nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121611,Flower Grower,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
121612,Fruit Grower,NS,NS,NS,NS,NS,S,NS,NS,NS,1,1
121613,Nut Grower,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,1
